(~(x^y))+(~y)+(x|~y)-2*(~x)-x,-3*(~x&y)-1
-2*(x&~y)+2*(~y)-(x|~y)-y+2,-(x&y)-2*(x|y)+1
(~x)+(~x|y)+x-y,~(x|y)-1
(~y)-(~(x&y))+y-(x|y),-(x&~y)-(~x&y)
-2*(~(x^y))+2*(~x|y)+2*x-y-(x|y),x&~y
-(~(x|y))+2*(~x)-(~(x&y))+x-(x|y),-(x&~y)
2*(~x)-(~(x&y))+2*x-(x&y)-(~x&y),x|~y
(x&~y)-x,-(x&y)
(~c)-(~c|y)+2*y-(~c&y)+1,-(~y)
2*(~x)+x-2*y+2*(x|y)-(x&~y)-(~x&y)+1,~y
-(x^y)+(x|~y)+x-y+2,-3*(~x&y)+1
(~(x|y))-2*(x|~y)+2*(~x)-(~(x&y))-1,-3*x+y-1
-4*(~e)+3*(x|~e)+3*(~x)-2*(~x|e)-2*e,-(x|e)
3*(~x|y)+(~(x&y))-x-2*y-2*(~x&y),4*(~(x|y))
2*x-(x&y)-2*(x&~y)-(~x&y)-(~(x^y))+1,-(~x)+1
3*(~(d^y))-(d|~y)-(~d)-(~d|y)-d,-2*(d^y)
4*(x|y)-(x&~y)-(x^y)+(x|~y),2*x+2*y-1
-4*(d|~y)+5*(~d)+7*d-2*y-(d&~y)-(~d&y)+1,d^y
2*(x&~y)+(~(x^y))-2*x+2,-(x&y)-(x|y)+1
-x-2*y+4*(x&y)-(~(x^y))-(~y)+1,-2*(~(x&y))+1
2*x+4*(~(x|y))+(~x&y)-2*(~(x^y))-(~y),~(x&y)
2*(x|~y)+(~x)-(~x|y)-(~(x&y))+1,-2*(~x&y)
(~x&y)+(~(x^y))-(~x)-x,-(x&~y)
-(~y)+2*(~x)-(~(x&y))+x-y+1,-(x&~y)+1
-4*(~x)+3*(~x|y)+3*(~(x&y))-(x|y)+1,x|~y
c-2*(x&c)+2*(~(x|c))-(~c)+2,-2*x+1
-(x^y)-2*(~(x|y))+2*(~x|y)-x-y,-2*(x&~y)
3*(c|y)-(c&~y)-(c^y)+2*(~(c|y))-(~c|y)+1,c&y
2*(~x)+3*x-2*(x&t)-2*(x^t),(~(x^t))+(~t)
3*(~x)-3*y+6*(x|y)-4*(x^y)+1,~(x^y)-1
3*(e^y)+3*(e|~y)+(~e|y)-2*(~(e&y))+3,2*e+1
-2*(~x|y)+(~(x&y))+(x|y)-3*(x&~y),-(x|~y)
2*(x|~y)+(~x|y)-2*(x&y)+(x|y)-2*(-1),~y
-(x&~b)+(~x&b)-(x^b)+(~b)-(~x|b)+1,-(x|b)+1
3*(~(x^y))+(~y)-2*(x|~y)-2*(~x)-x,-2*(x^y)
2*(x^y)+2*(~(x^y))-(~x)-(x|y),-(~x&y)-1
-2*(~(x&y))+x-(x&y)+(x^y)-(~x&y)+1,-2*(~x)+1
(x&y)+2*(~y)-2*(x|~y)+2*(~x)-(~(x&y)),-2*x-1
-x+y+(x&~y)-2*(~x&y)-(~(x^y))-1,-(~x|y)-1
(~x|y)-y+2*(x&y)-(x|y),-2*(x^y)-1
-(x&~c)+3*(~x&c)-(x^c)+2*(~c)-(~x),-x-1
3*x+(~(x^y))+3*(~y)-4*(x|~y)+3,-2*(~x|y)+1
2*(~x)+2*(x&y)+(x^y)-2*(~x&y)+1,~(x^y)
2*(~(x|y))-2*(~x)+(~(x&y))+y+1,-(~x&y)
-(~(x|y))+(x|~y)+(~x)-(~x|y),x&~y
(~y)+(~x^y&~z)-2*(~x&~y&z)+(~x|y&z)+(x|y^z)-3*(-1),-(x|y|z)
-(~(x^y))+3*(~y)-(x|~y)-2*x,-4*(x&y)-(x|y)-1
-(x&y)+(x&~y)+(~(x^y))+1,-y
2*(x&~y)+(~(x^y))-(x|~y)+(~x)+1,-(x&y)
x-3*y+3*(x|y)-(x^y)-(x&~y)-(~y)+1,-2*(~x)
4*(~(x&y))-x+2*y-3*(x^y)-(~(x^y))+1,3*(~x)+1
(x&~y)+(~x&y)-(x^y)+(~y),-y-1
(~x)+2*x+y-2*(x&y)-2*(-1),-(~(x^y))
(~y)-(~x)+2*(~x|y)-2*(-1),-(x^y)
x+(x&~y)+2*(~(x^y))-2*(x|~y)+2,-(~(x&y))+1
(x|~d)+(~x)+d-(x^d)-(~x&d),2*(~(x^d))
(x|~y)+2*(~x)-(~x|y)+x,~y-1
(x^e)+2*(~e)-(x|~e)-(~(x&e))-x+1,-2*(x&e)+1
4*(~(x^y))-(~y)-2*(~x|y)-x,-3*(x^y)-1
(x|y)+(x^y)-2*(x&~y)+(x|~y),y-1
-5*(c&~y)+2*(c^y)+3*(~y)-(c|~y)-(~c),-2*c-1
-x+y+3*(x^y)-4*(~x&y)+3,-2*(~x|y)+1
-3*(~y)+3*(~x)+4*x-2*y-2*(x|y)-1,-(x^y)-1
(a&~y)-2*(~a&y)+(~y)-(~a|y)+1,2*a-3*y+1
4*(~t&y)+2*(~(t^y))+(t|~y)-(~t)-(~t|y)+1,y
-2*(x&~y)+(~x&y)+2*(~y)-(x|~y)-(~x)+1,-x+1
-(~a|y)-4*a-y+4*(a|y)-(a^y)-(~y),-3*(a|~y)-1
2*(d|y)+(~d&y)-(d^y)+(~(d^y))-(d|~y)+1,2*y+1
-(x|~y)+2*x+(x^y)-3*(x&~y),-2*(~y)-1
-(~y)+x-(x&y)+(x|y)+2,-2*(~(x|y))+1
-(x&y)+(x|y)+(~(x|y))-(x&~y),-x-1
(~(x&y))-2*y+2*(x|y)-(x^y)-(x&~y),~y
(~(x|y))+(~y)-(~(x&y))+y+2,-(x^y)+1
-3*(b&~y)+3*(~y)-(b|~y)-(~b)+2,-2*(b|y)+1
3*(~(x^d))-(~d)+3*x-4*d+1,-6*(~x&d)-1
2*(x|~y)+(~x)-(~x|y)-(x&y)+(x|y)-(x&~y),~y-1
-(~x)+3*(~x|y)-y+(x&~y),~(x^y)-1
-(~y)+2*(x|~y)-(x|y)+(~x&y),-(x^y)-1
3*(x|~y)-(~x|y)-(~(x&y))-x+1,-3*(~x&y)
(x|~y|z)+(~x&y^z)-(x&(~y|z))+2*(x|y&~z)-2*(x|y^z)-(x&y),~x^~y&z
(x|~y)+(~x|y)+x-3*(x&y)-(~x&y)+1,2*(~y)+1
(~e)+(~(e&y))+2*e-2*y-(e&~y)+1,2*(~y)+1
-(x&y)+2*(~(x|y))-2*(~x)+(~(x&y)),-2*y-1
(~(x^y))+(~x)-(~x|y)-x-y+2,-(x&y)-2*(x|y)+1
(~a)-2*(x|~a)+2*(~(x&a))-a,-4*(x&a)-1
-a+2*y+(a&~y)-(~a&y)+1,-(~y)
-(x&y)+(x^y)-(x&~y)+(~(x^y))+2,-x+1
3*(x|y)-(x&~y)-(~x&y)+(~(x|y)),x+y-1
-(~x)+3*y-2*(x&~y)+3,(~(x^y))-4*(~y)+1
x-2*y+(x&y)-2*(~(x^y))+2,-3*(~x|y)+1
x-2*y+(x|y)-2*(x&~y)-(~y)-1,-(~(x&y))-1
2*y-(x&~y)-(~x&y)+2,(~(x^y))-2*(~y)+1
-2*(~(x&c))+2*c-(x&c)-(x&~c),(~(x^c))-3*(~c)
9*x-1*(~(x&y))-9*(x&~y)-10*(x&y),-(~(x&~x))
-(~(x|y))+2*(~(x^y))+(~y)-(x|~y),-(x^y)-1
5*(~x)+3*x-y-(x|y)-(~x&y)+1,(x^y)+4*(~(x|y))
x-2*(x&y)-(x|y)-2*(~(x|y))-(~x&y),-2*(~x|y)
3*(~y)+(~x)-4*(~(x&y))-2*x+1,(x&y)-3*(x|y)+1
3*(x|y)-(x&~y)-2*(~x&y)+(~x)+1,x+y
-(x|~y)+2*(~x|y)+2*x-y+1,x&y
(~y)+(~x)+y-(x|y)-(~x&y)-1,2*(~(x|y))-1
5*(~x)-3*(~x|y)+3*x-2*(x^y)-(~(x|y))-1,~y-1
-5*(~y)+5*(~x|y)+4*x-6*y-3*(x&y)+1,-(x^y)+1
(x|y)-(x&~y)+(x^y)+(~(x^y))-(~y)+1,2*y+1
-(~y)+(~x|y)+3*x-2*(x&y)-2*(x|y)+1,-(~x&y)+1
(~(x|y))-(~(x^y))-x-y+1,-2*(x&y)-(x|y)+1
2*x-y-(x&y)-2*(x&~y)-(~y)+1,-(~(x&y))+1
(~x)+(~x|d)+3*x-2*d-(x&~d),2*(x|~d)
3*(~(x&y))+2*x+y-2*(x^y)-2*(-1),x|~y
y-(x|y)+2*(x^y)-3*(~x&y)-(~y)-1,-(~x)-1
4*x-3*(x&y)-2*(x^y)-(~y)+1,(x|~y)-2*(~x)+1
-(~x&y)+(~y)-(x|~y),-y
2*(~(a^y))+(~y)-3*(~a)-a-(a&y)-1,-3*(~a&y)-1
(x|t)+3*(~x&t)+2*(~(x^t))-(~x)+1,2*t
3*(x|y)-(x^y)+(~(x^y))-(~x|y),2*x+y
(x^b)+(~(x|b))-(~(x&b))+x-(x|b)-1,-(~x&b)-1
(~x&y)+3*(~(x^y))-2*(~x|y)-x+1,(x&y)-2*(x|y)
c-2*(c&y)-(c^y)-(~(c^y))-(~c)-1,-2*(~c|y)-1
3*(~x)+x-y-(~x&y)-1,(x^y)+3*(~(x|y))-1
-2*y+(x|y)+(~(x^y))-2*(~y),-(~(x&y))
3*(x|y)-(x|~y)+3*(~x|y)-(~(x&y))+2,4*y+1
-(~(x|y))+(~(x^y))+2*(~y)-(x|~y)+2,-y+1
2*(x|y)-2*(x^y)-(~x&y)-(x|~y),-2*(~(x&y))-1
2*(~(x^y))-(~(x&y))-(x|y)+1,-3*(x^y)
x+2*y-4*(x&y)-2*(x^y)-(~(x|y)),-(x|~y)
-2*x+y-(~(x|y))+(x&~y),-2*(x|~y)-1
-(x|y)+3*(x|~y)+3*(~x)-4*(~x|y)+1,-4*y-1
(x&~y)+2*(~x&y)-2*(x^y)+(~y)+1,-(x|y)
3*(~x)+4*x+y-4*(x|y)-2*(~(x|y)),~(x^y)
-2*(x^y)+(~(x|y))+(~y)-(x|~y)-x-y,-4*(x|y)-1
3*x-(x&y)-2*(x|y)-(~(x|y))-(~y),-2*(~x)
-x-3*y+4*(x|y)-2*(x^y)-(x|~y)-1,-(~x|y)-1
3*x-y-(x&~y)-(~x&y)+1,2*(x|~y)-2*(~x)+1
-2*(~x)+2*(~x|y)-x-(x&y)-(~x&y)-1,-(x^y)-1
2*(x|~y)+2*(~x)+3*(x&y)-(x|y)+1,3*(~(x^y))
-(~x&y)-2*(~y)+2*(~x|y)-x-y,-3*(x&~y)
(x^y)+2*(~(x|y))-(~(x^y))-2*(~y)+1,-2*(x|~y)
2*(~x)+2*x-(x&~y)-(~x&y)+2,~(x^y)+1
-(x|~y)+2*(x|y)-2*(x&~y)-(~x&y),-2*(~y)-1
(~x|y)-x-(x&y)+(x|y)-(~x&y)-1,~x-1
3*x+2*y-4*(x|y)-2*(~y)-1,(~x|y)-3*(~(x&y))-1
2*(x&b)-(x^b)-(~b)+1,(~x|b)-3*(~(x&b))
4*(d|~y)-2*d+2*y-(d^y)+1,3*(~(d^y))
(e^y)-(~y)+2*(e|~y)-(~(e&y))-e-y,-(~e&y)
4*(~(x&y))-x+2*y-2*(x^y),3*(~x)-1
(~y)+(~(x&y))+(x&y)-(x&~y)+2,~(x|y)+1
2*(x^y)+5*(~(x|y))-3*(~y)-(~x)-(~x|y)-1,-x-1
2*y-(x|y)-3*(~x&y)-(~(x^y))-(~y),-2*(~(x&y))
2*(~x&c)-(x^c)+2*(~c)-(x|~c)-(~x|c),-2*(x&c)
-2*y+(x&y)+(x^y)-(~(x|y))-(x&~y)+1,-(~x|y)+1
-(x|d)+(x^d)+2*(~(x|d))-(~d)-(x|~d),-2*x
(x&~y)-(x|~y)+2*(~(x&y))-x-y+2,-4*(x&y)+1
-2*(~y)+2*(t|~y)-(t|y)+1,-2*(t^y)-(~(t|y))
-2*(~x|y)+(~(x&y))+2*y-2*(x&~y)-(~x&y),-(~y)
-(x&~y)+(~y)-(x|~y)+(~x),-2*x-1
2*(x^y)-(~(x|y))+2*(x|~y)-y+1,3*(x&~y)
-2*y+3*(x|y)+3*(~(x|y))-(~y)-(x|~y),~(x&y)
2*(x^y)+2*(~(x^y))-(~y)-(~x|y)-x,~x&y
2*(~(x^y))+2*(~y)-(x|~y)-2*(~x),-3*(~x&y)-1
y-4*(b&y)+2*(~(b^y))-(~y),-2*b-1
(x|~y)-(~x)+2*(~x|y)-(x&y)+2,~(x^y)+1
x+y-2*(x^y)-(x|~y)-1,(~x|y)-2*(~(x&y))-1
(x|~y)-(~x)+2*(~x|y)-(x|y),2*(~(x^y))
(x|~y|z)+(x|~y&~z)-(x|~y)+(~y^z)-(y^~z)-(-1),-(~x&(y^z))
-(~(x&y))+2*x+3*y-4*(x&y)-2*(x|y),-(x|~y)
2*(x^y)-2*(x&~y)-(~x&y)+(x|~y)-(~x)-1,x-1
-c+2*y-4*(~c&y)-2*(~y),(~c|y)-3*(~(c&y))
2*(~(x^y))-2*(~x)+(~(x&y))-(x&y)+1,-2*(~x&y)
2*(x|y)-(x&~y)-(~x&y)+(~y)+2,x+1
-(~y)-(~x)+2*(~x|y)-(x&y)-(x|y),-2*(x&~y)
3*(x^y)+2*(~(x|y))-(~x)-2*x-y+2,-4*(x&y)+1
2*(~(x^y))+2*(~x)-(~x|y)+(x&~y)+1,2*(~(x|y))
2*(x^y)+(~y)+(x|~y)-(~x|y)-(~(x&y)),3*(x&~y)
-(~x|y)+2*(~(x&y))+y-(x^y)-(~x&y)-1,~y-1
(x|~y)+2*(~x)-(~(x&y))-2*(~(x|y))+1,-(~y)
-4*(~x)+2*(~x|y)+3*(~(x&y))-x-(x|y)+1,~y+1
-(~y)+4*(~x|y)+5*x-6*(x|y)+4,-5*(x^y)+1
2*(~(x&a))+2*a-(x&~a)-2*(~x&a)+1,~x|a
3*(~(x&y))+y-2*(x^y)-2*(~(x|y))+1,-(x|~y)-1
-(~x)+3*(~x|y)-2*y+(x|y)+2,~(x^y)+1
-3*(~b)+2*(~b|y)+(~(b&y))-b-(b|y),-(b^y)
-(~(x&y))+3*y-2*(x&y)-(~x&y)+1,-2*(~y)
(x|~y)-(~x|y)+x-(x&y),2*(x&~y)-(~x&y)
-(a^y)+(~a&y)-2*(~a)+1,-(~a|y)-2*(~(a&y))
3*a-(x^a)+3*(~a)-(x|~a)+1,~x|a
3*(~(x&y))+3*y-2*(x|y)+1,-(x|~y)+2*(~x)-1
x+(x&y)+(~(x|y))-(~(x^y))+1,-(~x)
(x|~y)-(~x)+2*(~(x&y))-(x|y),2*(~y)
-2*(~y)+3*(x|~y)+(~x|y)-x-y,2*(~(x^y))
3*(~(x&y))+x-2*(x^y)-2*(~(x|y))+1,-(~x|y)-1
-(~y)+3*(~x|y)-(x|y)-4*(~x&y)+3,-4*(x^y)+1
6*(~x&y)+3*(~(x^y))+3*(~y)-4*(~x)-2*(-1),x
-(x^y)+2*(~x)-(~(x&y))+y+2,-3*(x&~y)+1
-(~x)+2*(~(x&t))+2*(x&t)-(x|t)-(x&~t),~(x^t)
4*(x|y)-(~x&y)-(x^y)+2*(x|~y)-(~x|y),4*x-1
(x|y)-2*(~(x|y))-2*(~x&y)+1,-(x|~y)-3*(~x)-1
2*y+(x&~y)-2*(~x&y)+(~y)-(x|~y),x
3*(x&~y)+(~(x|y))-(~y)+(~x|y)-x+2,-(x&y)+1
-2*(~x)+3*(~(x&y))+2*y-(x&y)+1,2*(x^y)
d-(x^d)-(~(x|d))+(~d)+2,-(~(x&d))+1
2*(~(x|y))+(~x)-(~x|y)-(~(x&y))+1,-2*(x|y)
(x|y)+3*(x&~y)+2*(~(x^y))-(~y)+2,2*x+1
(~(x^y))+(~y)-(~x)+1,-2*(~x&y)
3*(x^y)+(x|~y)+(~x)-2*x-2*y-2*(-1),-5*(x&y)
2*(x|~y)+y-2*(x&y)+(x^y)-(x&~y)-(~x&y),~y-1
-(x|e)+2*(x^e)-2*(x&~e)-(~x&e),-x
3*(~(x^y))-4*(~x)+(~(x&y))-6*x-2*y,-5*(x|y)
-3*(~y)+2*(~(x&y))+x-y-(~x&y)-1,-(~(x|y))-1
(x&y)+(x^y)+2*(~(x|y))-(x|~y)+1,-x
-(~x|e)+2*(x|e)-(x&~e)-2*(~x&e),-2*(~x)-1
(~(x&t))+x-2*t-2*(~(x|t))-2*(-1),-3*(~x|t)
4*(x|b)-2*(x&~b)-(x^b)+2*(~b)-(~x)+1,2*x+b
x-2*(x^y)+(~x&y)-(~(x^y)),-(~(x&y))
-(x&~y)+(~(x|y))+(x|~y)-(~x|y)-x+1,-2*(x|y)
-2*a+(x&a)+(x|a)-(x&~a)-(~a)+1,-(~(x&a))+1
-2*(~x|y)+3*x-(x^y)-(x&~y)-1,(x|~y)-3*(~x)-1
-(x&y)-(~(x^y))-2*(~y)+2,-3*(x|~y)-(~x)+1
-(~x)+2*(~x|y)+2*x-3*(x&y)-(x^y),x|~y
-2*x-2*y+4*(x|y)-(x^y)+1,-(~(x^y))
-(~(x|y))-(~y)+(x|~y)+(~x|y)-x-y,-(x&~y)
-3*(x&~y)+2*(x^y)+2*(~y)-(~(x&y))+2,-x+1
-(~x|e)+2*x+e-(x&e)-(x&~e)-(~x&e),-2*(~x)-1
-(x&y)+2*(x&~y)-(x^y)+(~x)-(~(x&y))-1,-y-1
4*(~x)+5*x-4*(x|y)-2*(~(x|y)),(~(x^y))+(~y)
(~x&y)-(x^y)+3*(~y)-(~x)-(~x|y)+2,x-3*y+1
3*(~x&y)-(x^y)+2*(~(x|y))-(~x)+x+2,-(x&~y)+1
(~y)+4*(~x)-2*(~(x&y))+2*x-y+1,2*(~(x|y))
(~(x^y))-2*(~y)+(x|~y)-y-(x&y)+1,-(x^y)+1
3*(x|~y)+(~x)-(~x|y)-x-1,(~(x^y))+2*(~y)-1
3*(~x|y)+x-2*y-2*(x|y)-1,-(x^y)+3*(~(x|y))-1
(x&y)-(x^y)-(~(x|y))+1,-2*(~(x&y))
-4*(x&y)-(x^y)+(x|~y)-(~(x&y)),-x-2*y
(x|y)+3*(x&~y)-(x^y)+(~(x^y))-(~y),2*x
(~y)-(~(x&y))+y+1,-(x^y)-(~(x|y))
-x-2*y+3*(x|y)-(x^y)+2,-(~x|y)+1
(x^y)+2*(~y)-2*(~(x&y)),x-y
2*(~(x^t))-(~x)-(x&t)-(x&~t)+2,-2*(x^t)+1
-(~x|y)-(~(x|y))-(~y),-2*(x|~y)-2*(~x)-1
-(x^y)+(~y)+(~x)-(~x|y)-x+1,-(x&y)-2*(x|y)
(x&y)+2*(x|y)-(x^y)+2*(~x)-(~x|y)+2,y+1
-(x&y)+2*(x|y)+2*(~(x^y))-(x|~y),y-1
(x&(y|z))+(~x&~z)+2*(~x&~y&z)+(~x&y^~z)+(~x|~y|z)-(-1)-(-1),~x&~y
-(~x&y)+(x^y)+(~(x|y))-(x|~y),-(x&y)
-x-y-2*(~(x|y))-(~y)-1,-2*(x|~y)-(~x)-1
y-(~(t|y))-(~t&y)+(~y)+1,-(~t)
5*(x|y)-(x&~y)-(x^y)+(~(x^y))+1,2*x+3*y
(~(x&y))+y-(x&~y)-(~x&y),~x|y
(~y)-2*(~x)+3*y-2*(x&y)-(x|y)+1,-(~(x|y))+1
(x&~y)+(~x&y)+(~(x|y))-(~y)-y+1,-(x&y)+1
-(x^y)+(~(x^y))-(x|~y)+y-(x&y)+1,-2*(x&~y)+1
-(~x&y)+2*(x^y)+(~(x&y))-2*x-y+2,-4*(x&y)+1
(x|~y)-y+(x&y)-2*(x&~y)+2,-2*(x^y)+1
2*x+y-2*(x&y)-2*(x|y)-(~(x|y))-1,-(~x|y)-1
(~(x|c))+2*(~(x^c))-(x|~c)-(~x)+1,-2*(x^c)
-2*(~c)-(~(x&c))+x-c,-2*(x^c)-3*(~(x|c))
2*(~x)+3*x-(x|y)-2*(x&~y)-(~x&y),2*(~(x^y))
-(~(x^y))+(~y)-(x|~y)+(~x)-y,-3*(x&y)
2*(~x&y)+(~y)-3*(~x)+3*(~x|y)-x-y+1,-(x&~y)
(e|~y)+(e|y)+(~(e|y))-(e&~y)+2,~(e^y)+1
(x|~t)+4*(~x)-3*(~x|t)+2*x-(x^t)-1,2*(~t)-1
(x&t)+3*(x|t)-(x&~t)+2*(~x)-(~(x&t)),3*t-1
-(~y)+(~x|~z)+(x|~y)-(~y^z)+2*(~x|~y|z)-2*(-1),~x&(y^z)
-(x&e)+(x^e)-2*(x&~e)-(~x&e),-x
4*(x|y)-(~x&y)+2*(~(x^y))-(~x|y)+2,3*x+y+1
-x+2*(x^y)-(x&~y)-2*(~x&y)-(~x)-1,-(~x|y)-1
-2*x-y+3*(x&y)-2*(~(x|y))-(~x&y),-2*(~(x&y))
2*(~(x^y))+2*(~x)-y-(x&y)-(~x&y),4*(~(x|y))
-2*(x^y)+(~(x&y))+x+2,-(x&~y)-2*(~x&y)+1
2*(x^y)+(~(x|y))-(~y)+(~x|y)+1,2*(~x&y)
(x|y)-(~x&y)+2*(~y)-(~x|y)-(~(x&y)),2*x-2*y
2*(~x)+x-2*y-2*(~(x|y))-1,-(~(x^y))+(~y)-1
-2*(~(x|y))+(~y)+(~x|y)-(x&y),x^y
2*(x|~y)+3*(~x)-(~(x&y))-y+1,3*(~(x|y))
-(x|~y)+(~x|y)+(x|y)-(~x&y)+1,-(~y)
x+2*y-4*(x&y)-2*(x^y)-(~(x|y))+1,-(x|~y)+1
(~(x^y))+(~x)+x-(x&y)-(x|y)-1,2*(~(x|y))-1
(x^y)+(~(x|y))-(~y)+(x|~y)-(~x|y),x&~y
(x&~y)+(~(x|y))-(~y)+(~(x&y))+1,-(x&y)
(~x|y)+2*x-y-(x|y),-2*(~x&y)-1
-2*(~d)+3*(~d|y)-4*(d&y)+(d|y)-2*(~d&y),~y
-(x^y)+(~y)-(~x)+2*x-y-(x|y),(x&~y)-4*(~x&y)
(~(x&b))+x+b-(x|b)-(~x&b),x|~b
-(b^y)+(~y)-(~(b&y))+b-y,-3*(~b&y)
-y+(x^y)-(~x&y)-(x|~y)-(~x),-2*(~x|y)
y-3*(b&y)-(b&~y)-(~y)-1,-2*(b|~y)+(~b)-1
2*(~y)-(~(x&y))+y-(x&y)-(x&~y),~(x|y)
(~(x|y))-(~x)+x-y,(x&~y)-2*(~x&y)
c-(x^c)-(~(x|c))+(~c),-(~(x&c))-1
(x|~b)-(x&b)+(x|b)+(~(x|b))+1,~b
2*(~(x^y))-(~x)-2*x-y+1,(x&y)-3*(x|y)
(~x|y)+x-y-(x&y)-(x&~y),~(x|y)
2*(x&(y|z))-(~x&y^z)-(x|~y)+2*(~x&~y|~z)+2*(~x|~y|z)-3*(-1),-z
2*y-(c|y)+(c^y)-(~c&y),-(~y)-1
(~(x|y))-(~x)+x-(x&y)+1,(x&~y)-(~x&y)+1
(~(x|y))-(~(x^y))+(~y)+y+2,-(x&y)+1
-(~y)+2*(x|~y)+2*(~x)-y+1,2*(~(x|y))
(x&~y)+(~y)-(x|~y)+(~x|y)+1,-(x&y)
-2*(x&~a)+(x^a)+(~a)+1,-x
-(x&~y^z)+(~x^y&~z)+(~x&~y&z)+(x&(y^~z))+(~x|~y|z)-(-1),~x&~y
-(~y)+2*(x|~y)-(~x|y)-y,(x&~y)-2*(~x&y)
2*(x|y)-2*(x&~y)+(~y)-(~x)-1,x+y-1
-(x&y)-2*(x&~y)+(x^y)+(x|~y),-x-1
-(x&y)+(x|y)-(~x&y)+(~(x|y))+1,-y
-2*(~y)+2*(x|~y)+(~x)-x,-2*(x&~y)-1
(x&~y)-(x^y)+(~x)-(~x|y),-y
(e|y)-(~e&y)+(~y)+1,e-y
2*(~(x^y))-(~y)+y-2*(x&y)+1,-2*(x&~y)
-3*(x&y)-2*(x|y)+2*(x|~y)-(~x|y)+1,-x-4*y
2*x-y-(x&y)-2*(x&~y)-(~(x^y))-1,-(~x|y)-1
-(~(x|c))+(~c)+2*(~x)-(~x|c)+1,-2*(x&c)
2*y-2*(x&y)-(x^y)+(~y)+2,-x+1
-(~(x|y))+2*(x|~y)-2*(x&y)+(x|y),2*(x&~y)-1
-(x&~t)+2*(x^t)+2*(~t)-(~(x&t))-x,-2*(x&t)-1
3*(x^y)+2*(~x|y)-2*(~(x&y))-y-(x|y),~x&y
-2*(x^c)+(~c)+2*x-c+1,-4*(~x&c)
(~x)+(~x|t)+4*x-2*(x&t)-(x|t)-(x&~t)+1,x|~t
-3*(~x&y)+2*(x^y)+2*(~x)-(~(x&y))+2,-y+1
-(~(x|y))+(x|~y)+(~x|y)-x+1,-(x&~y)
-(x^y)+(x|~y)-x+1,(x&y)-2*(x|y)
2*(~x&b)+2*(~(x^b))-(~b)-b,-2*(x&~b)-1
(~x&t)+(~x|t)-2*t+1,-(x&t)-(x|t)
2*(x|y)-2*(~x&y)+2*(~(x|y))-(~(x^y))-(~y),x
y+2*(~y)-(x|~y),~(x&y)
-(~(x&y))+3*x-4*(x&y)-2*(x&~y),-(~x|y)
(x&~y)-2*(~x&y)+3*(~y)-(~x)-(~x|y),3*x-5*y-1
-(~(x&d))+2*(x^d)-2*(x&~d)-(~x&d),-(~d)
-(~y)+3*(x|~y)+(~x)-(~(x&y))-x,2*(~(x^y))
(~(t|y))-2*(~y)+2*(t|~y)-(~t|y)-y,-2*(~t&y)
3*(x&~y)+2*(~(x|y))-(x|~y)-x+y,-2*(x&y)-1
-y+(x|y)-(x&~y)+(~x),-x-1
(~(x^y))+(~x|y)+x-2*(x&y)-(x|y),2*(~(x|y))
3*(x|y)+2*(~(x^y))-(x|~y)+2,x+2*y+1
-(~y)+2*(x|~y)+(~x)-(~x|y)-(~(x&y))-x,-(x^y)
-3*y+3*(x^y)-2*(x&~y)+2*(~(x^y))-2*(~y),-x
-x+b-(x&b)-(~(x|b))+1,-2*(x|~b)
-(~x|y)+(x&~y)-2*(~y)+2,-2*(x|~y)-2*(~x)+1
2*(x|y)-(x&~y)-(x^y)+2*(~y)-(~x|y)+1,x-y
(~x&y)+(~(x^y))+(~y)-(~x)-x+1,-(x|y)
-(~y)+d-(d|y),-(d^y)-(~(d|y))
-7*(x&y)+3*(~(x^y))-(~x)-(~(x&y)),-2*x-3*y-1
(~(x&y))+2*x-(x&y)-2*(x&~y)-(~x&y),x|~y
-5*(~y)+4*(x|~y)+(~x)-2*y-2*(x|y),-3*(x^y)
-b-(x&~b)+(~x&b)-(~(x^b))-(~b),-2*(x|~b)
-2*(x&y)-(~x&y)-(x^y)+2*(~y)-(~x|y),-4*y-1
3*(~x)-2*(~x|y)+3*x-(x|y)-(x&~y)+1,~y+1
(~c)-(~(x&c))+c-(x|c)-1,-(x&~c)-(~x&c)-1
-(c^y)-(c|~y)+(~(c&y))-y,-(c&y)-(c|y)
4*(~x&y)-2*(x^y)+(x|~y)-(~x)-y-1,-(x&~y)-1
(~y)-(a|~y)+(~a|y)-(~(a&y)),-(a&~y)
2*(x|y)+3*(~(x|y))-(~(x^y))-(~x)-(~(x&y)),x
-4*(~y)+3*(x|~y)+(~x|y)-2*y-2*(x&y),-(x^y)
(~x|y)+x-2*(x&y)-(~(x|y))+1,-(~(x^y))
(~x&a)-3*(x^a)+2*(~a)-(x|~a)-x-a,-4*(x|a)-1
2*y-2*(b&y)+(~(b|y))-(~b&y),-b-1
2*y-(x&y)-(x^y)-(~(x|y))+2,-2*(~y)+1
(x|y)+2*(~x&y)-2*(x^y)+2*(~y)-(~x|y),-y-1
2*(x|~y)+(~x)+y-3*(-1),-(x^y)
x+2*(~(x|y))-(~x&y)-2*(~(x^y))-(~y),-(~x|y)
(x|y)-2*(~x&y)+(~(x&y))+1,x-y
(~x&y)+(x^y)+2*(~(x^y))-(~x)-(~x|y)+1,x+1
(x|y)+(x|~y)+1,x
(x|y)-(x^y)+(x&~y)+1,-(~x)
